,PRODUCTOS,Semana05
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 05
4,,20 - 26/01
5,FRUTAS,
6,Clementina  (€/100 kg),39.0303139183056
7,Limón  (€/100 kg),41.312063936938905
8,Naranja  (€/100 kg),26.980960185640278
9,Aguacate (€/100 kg),239.4477835924273
10,Manzana Golden (€/100 kg),39.18350388317232
11,Pera Blanquilla  (€/100kg),66.01765391000909
12,Plátano (€/100 kg),28.95
13,HORTALIZAS,
14,Acelga (€/100kg),65.75177785303082
15,Alcachofa (€/100kg),98.41284106550077
16,Berenjena (€/100 kg),112.76857303969814
17,Calabacín (€/100 kg),87.90291372367815
18,Cebolla (€/100 kg),9.251212578223862
19,Champiñón (€/100kg),173.76819629732756
20,Coliflor (€/100kg),52.64778019801981
21,Col-repollo (€/100kg),31.173122998785473
22,Escarola (€/100 ud),46.2141789555383
23,Espinaca (€/100 kg),103.79308005427407
24,Fresa (€/100 kg),246
25,Haba verde (€/100 kg),162.54103956555466
26,Judía verde tipo plana (€/100 kg),192.39829192373819
27,Lechuga Romana (€/100 ud),30.179915943600864
28,Pepino (€/100 kg),66.6820208036859
29,Pimiento verde tipo italiano (€/100 kg),67.65976127670798
30,Puerro (€/100 kg),56.49485214763653
31,Tomate liso (€/100 kg),61.74932679511874
32,Zanahoria (€/100 kg) ,19.000000000000004
33,Patata (€/100 kg) ,21.061342340379166
34,,
35,,
