,PRODUCTOS,Semana11
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 11
4,,09/03 - 15/03
5,FRUTAS,
6,Limón  (€/100 kg),38.49
7,Naranja  (€/100 kg),28.49
8,Manzana Golden (€/100 kg),36.96
9,Pera Blanquilla  (€/100kg),67.16
10,Aguacate (€/100 kg),222.09
11,Plátano (€/100 kg),15.3
12,HORTALIZAS,
13,Acelga (€/100kg),53.48
14,Alcachofa (€/100kg),54.35
15,Berenjena (€/100 kg),32.02
16,Calabacín (€/100 kg),33.85
17,Cebolla (€/100 kg),11.39
18,Champiñón (€/100kg),171.19
19,Coliflor (€/100kg),40.8
20,Col-repollo (€/100kg),30.06
21,Escarola (€/100 ud),27.43
22,Espárrago (€/100kg),234.66
23,Espinaca (€/100 kg),78.61
24,Fresa (€/100 kg),118
25,Haba verde (€/100 kg),101.65
26,Judía verde tipo plana (€/100 kg)*,-
27,Lechuga Romana (€/100 ud),26.66
28,Pepino (€/100 kg),38.61
29,Pimiento verde tipo italiano (€/100 kg),134.53
30,Puerro (€/100 kg),54.42
31,Tomate liso (€/100 kg),67.82
32,Zanahoria (€/100 kg) ,22.77
33,Patata (€/100 kg) ,28.42
34,,
35,,
