,PRODUCTOS,Semana39
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 39
4,,21/09-27/09
5,FRUTAS,
6,Clementina  (€/100 kg),42.19883483659425
7,Limón  (€/100 kg),52.06225686160692
8,Naranja grupo Navel (€/100 kg),23.989065858607496
9,Satsuma (€/100 kg),23.644789497510185
10,Manzana Golden (€/100 kg),50.64504196808469
11,Pera Blanquilla (€/100 kg),52.87405861154169
12,Pera Conferencia (€/100 kg),65.74909225839392
13,Ciruela (€/100 kg),90.92477168295
14,Melocotón (€/100 kg),92.08105661841643
15,Nectarina (€/100 kg),96.9061446266622
16,Aguacate (€/100 kg),280.07
17,Caqui (€/100 kg),29.5
18,Granada (€/100 kg),64.07599377564011
19,Higo (€/100 kg),205.74543597895664
20,Plátano (€/100 kg),75.52
21,Uva de mesa (€/100 kg),63.49978541575597
22,HORTALIZAS,
23,Acelga (€/100kg),52.39479936152047
24,Ajo (€/100kg),150.78438452238325
25,Alcachofa (€/100kg),64.2
26,Berenjena (€/100 kg),55.69223512543359
27,Calabacín (€/100 kg),47.17135427372796
28,Cebolla (€/100 kg),15.045076595889896
29,Champiñón (€/100kg),152.7055657483251
30,Coliflor (€/100 kg),47.916666666666664
31,Col-repollo hoja lisa (€/100 kg),29.871177376799533
32,Espárrago (€/100 kg),250
33,Judía verde tipo plana (€/100 kg),183.00602090736598
34,Lechuga Romana (€/100 ud),22.75801419709345
35,Melón Piel de Sapo (€/100 kg),41.87960115384533
