,PRODUCTOS,Semana43
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 43
4,,19/10-25/10
5,FRUTAS,
6,Clementina  (€/100 kg),36.512928801098596
7,Limón  (€/100 kg),41.73835663919651
8,Naranja grupo Navel (€/100 kg),24.074342975169305
9,Satsuma (€/100 kg),22.410996879945312
10,Manzana Golden (€/100 kg),54.52236710209843
11,Pera Blanquilla (€/100 kg),53.747248876472746
12,Pera Conferencia (€/100 kg),63.51556585248136
13,Melocotón (€/100 kg),157
14,Aguacate (€/100 kg),219.25805818407048
15,Caqui (€/100 kg),28.500000000000004
16,Granada (€/100 kg),64.32727277430658
17,Higo (€/100 kg),176.0970744680851
18,Plátano (€/100 kg),96.71
19,Uva de mesa (€/100 kg),64.99999999999999
20,HORTALIZAS,
21,Acelga (€/100kg),65.35054443273623
22,Ajo (€/100kg),164.94745273930315
23,Alcachofa (€/100kg),150
24,Berenjena (€/100 kg),44.80082538248515
25,Brócoli (€/100 kg),46.5
26,Calabacín (€/100 kg),134.78568848965764
27,Cebolla (€/100 kg),16.905477782707187
28,Champiñón (€/100kg),156.57198557124215
29,Coliflor (€/100 kg),59.66508614175608
30,Col-repollo hoja lisa (€/100 kg),28.576850381794813
31,Judía verde tipo plana (€/100 kg),166.15284560596828
32,Lechuga Romana (€/100 ud),22.87944981476196
33,Pepino (€/100 kg),67.28228874032311
34,Pimiento verde tipo italiano (€/100 kg),62.94978018304325
35,Puerro (€/100 kg),56.02433676376328
