,PRODUCTOS,Semana44
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 44
4,,26/10-01/11
5,FRUTAS,
6,Clementina  (€/100 kg),33.39177454180675
7,Limón  (€/100 kg),34.13219403618342
8,Naranja grupo Navel (€/100 kg),24.996706526635343
9,Satsuma (€/100 kg),22.36483293869412
10,Manzana Golden (€/100 kg),54.49302484409431
11,Pera Blanquilla (€/100 kg),53.747248876472746
12,Pera Conferencia (€/100 kg),62.766846987735164
13,Melocotón (€/100 kg),148.66666666666666
14,Aguacate (€/100 kg),199.5674853438952
15,Caqui (€/100 kg),26
16,Granada (€/100 kg),61.35358161037627
17,Higo (€/100 kg),181.82919621749406
18,Plátano (€/100 kg),97.93
19,Uva de mesa (€/100 kg),67.5
20,HORTALIZAS,
21,Acelga (€/100kg),61.48081801506459
22,Ajo (€/100kg),164.94745273930315
23,Alcachofa (€/100kg),150
24,Berenjena (€/100 kg),33.70903438756841
25,Brócoli (€/100 kg),38
26,Calabacín (€/100 kg),97.96186648807257
27,Cebolla (€/100 kg),16.95897278764199
28,Champiñón (€/100kg),155.70298033856122
29,Coliflor (€/100 kg),56.7552059090222
30,Col-repollo hoja lisa (€/100 kg),28.226556790403468
31,Judía verde tipo plana (€/100 kg),161.73582907131967
32,Lechuga Romana (€/100 ud),23.09867872265033
33,Pepino (€/100 kg),56.34021883566359
34,Pimiento verde tipo italiano (€/100 kg),54.73157429497927
35,Puerro (€/100 kg),56.0441804358664
