,PRODUCTOS,Semana30
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 30
4,,20-26/07
5,FRUTAS,
6,Limón  (€/100 kg),31.25
7,Manzana Golden (€/100 kg),55
8,Albaricoque (€/100 kg),120.23359534548125
9,Cereza (€/100 kg),229.90970317271623
10,Ciruela (€/100 kg),37.43125405987959
11,Melocotón (€/100 kg),58.392666484286316
12,Nectarina (€/100 kg),78.77640950549466
13,Aguacate (€/100 kg),286.2
14,Plátano (€/100 kg),51.879999999999995
15,Uva de mesa (€/100 kg),77.5
16,HORTALIZAS,
17,Acelga (€/100kg),74.83018503268745
18,Ajo (€/100kg),121.57367423431616
19,Berenjena (€/100 kg),43.45413955161988
20,Calabacín (€/100 kg),33.37503555696101
21,Cebolla (€/100 kg),11.382581304440357
22,Champiñón (€/100kg),136.44389989306154
23,Judía verde tipo plana (€/100 kg),169.33201886166535
24,Lechuga Romana (€/100 ud),25.347852069200254
25,Melón Piel de Sapo (€/100 kg),29.109665255759502
26,Pepino (€/100 kg),44.753611716650084
27,Pimiento verde tipo italiano (€/100 kg),73.17915242399697
28,Puerro (€/100 kg),42.41660757724407
29,Sandía (€/100 kg),13.50733625111746
30,Tomate liso (€/100 kg),51.34360107235974
31,Zanahoria (€/100 kg) ,20.627101874037308
32,Patata (€/100 kg) ,20.05193599320402
33,,
34,,
35,,
