,PRODUCTOS,Semana41
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 40
4,,28/09-04/10
5,FRUTAS,
6,Clementina  (€/100 kg),40.34988620512993
7,Limón  (€/100 kg),47.27191436582529
8,Naranja grupo Navel (€/100 kg),24.29802996408589
9,Satsuma (€/100 kg),24.024152910015363
10,Manzana Golden (€/100 kg),55.160406391773364
11,Pera Blanquilla (€/100 kg),52.35617071784793
12,Pera Conferencia (€/100 kg),64.34664963822851
13,Ciruela (€/100 kg),91
14,Melocotón (€/100 kg),117.00861434324338
15,Aguacate (€/100 kg),236.22424445148783
16,Caqui (€/100 kg),29.500000000000004
17,Granada (€/100 kg),62.21167681239624
18,Higo (€/100 kg),215.91236040882094
19,Plátano (€/100 kg),95.8
20,Uva de mesa (€/100 kg),71.25
21,HORTALIZAS,
22,Acelga (€/100kg),60.08047984643564
23,Ajo (€/100kg),165.12954136769147
24,Alcachofa (€/100kg),64.2
25,Berenjena (€/100 kg),67.24578431876299
26,Brócoli (€/100 kg),62
27,Calabacín (€/100 kg),95.899311309196
28,Cebolla (€/100 kg),16.5324330184501
29,Champiñón (€/100kg),156.9999235636172
30,Coliflor (€/100 kg),57.41670226311017
31,Col-repollo hoja lisa (€/100 kg),28.233293851801452
32,Espárrago (€/100 kg),220
33,Judía verde tipo plana (€/100 kg),158.60147350291624
34,Lechuga Romana (€/100 ud),22.585264538118224
35,Melón Piel de Sapo (€/100 kg),39.75801813875277
