,PRODUCTOS,Semana09
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 09
4,,24/02 - 01/03
5,FRUTAS,
6,Limón  (€/100 kg),39.509048367039725
7,Naranja  (€/100 kg),28.20898257530323
8,Aguacate (€/100 kg),228.29664866191996
9,Manzana Golden (€/100 kg),38.67407857186228
10,Pera Blanquilla  (€/100kg),67.34467218439832
11,Plátano (€/100 kg),15.85
12,HORTALIZAS,
13,Acelga (€/100kg),53.02398046398047
14,Alcachofa (€/100kg),59.65080184265458
15,Berenjena (€/100 kg),24.810168273011165
16,Calabacín (€/100 kg),24.554045141291414
17,Cebolla (€/100 kg),8.66816089351747
18,Champiñón (€/100kg),171.44565794901465
19,Coliflor (€/100kg),36.6213776248192
20,Col-repollo (€/100kg),31.995019713633543
21,Escarola (€/100 ud),30.953142103527863
22,Espinaca (€/100 kg),88.87490584737361
23,Fresa (€/100 kg),133
24,Haba verde (€/100 kg),107.33806863527535
25,Judía verde tipo plana (€/100 kg),187.539741268324
26,Lechuga Romana (€/100 ud),19.681878286527212
27,Pepino (€/100 kg),43.51501106803709
28,Pimiento verde tipo italiano (€/100 kg),91.57901679959632
29,Puerro (€/100 kg),60.57859759288331
30,Tomate liso (€/100 kg),54.023624485124486
31,Zanahoria (€/100 kg) ,19.128142244022072
32,Patata (€/100 kg) ,22.97800371210559
33,,
34,,
35,,
