,PRODUCTOS,Semana19
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 19
4,,04/05 - 10/05
5,FRUTAS,
6,Limón  (€/100 kg),75.33227368114858
7,Naranja  (€/100 kg),61.8
8,Manzana Golden (€/100 kg),41.54
9,Albaricoque (€/100 kg),85.4381641288415
10,Cereza (€/100 kg),259.77978990594795
11,Melocotón (€/100 kg),103.64445215144166
12,Nectarina (€/100 kg),118.70446473232239
13,Aguacate (€/100 kg),219.39991700809946
14,Níspero (€/100 kg),82.57959290042989
15,Plátano (€/100 kg),22.41
16,HORTALIZAS,
17,Acelga (€/100kg),57.19773167025042
18,Ajo (€/100kg),194.57294592461318
19,Alcachofa (€/100kg),59.642978562908
20,Berenjena (€/100 kg),41.26838319569121
21,Calabacín (€/100 kg),18.100740170808646
22,Cebolla (€/100 kg),16.0404800285254
23,Champiñón (€/100kg),158.55658663786858
24,Coliflor (€/100kg),75.73114160793769
25,Col-repollo (€/100kg),35.3757565416977
26,Escarola (€/100 ud),35.318916570104285
27,Espárrago (€/100kg),159.02804587479253
28,Espinaca (€/100 kg),118.62123950845543
29,Fresa (€/100 kg),101.9760775232637
30,Haba verde (€/100 kg),68.67128077197546
31,Judía verde tipo plana (€/100 kg),138.29
32,Lechuga Romana (€/100 ud),25.248205141091216
33,Pepino (€/100 kg),29.324130333580005
34,Pimiento verde tipo italiano (€/100 kg),57.43970564703865
35,Puerro (€/100 kg),49.164972441395086
