,PRODUCTOS,Semana50
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 50
4,,07/12-13/12
5,FRUTAS,
6,Clementina  (€/100 kg),21.527705932762608
7,Limón  (€/100 kg),23.877902398212004
8,Mandarina (€/100 kg),36.78202201696833
9,Naranja grupo Blancas (€/100 kg),25.554708086215303
10,Naranja grupo Navel (€/100 kg),24.925746873983584
11,Manzana Golden (€/100 kg),56.717354840485115
12,Pera Blanquilla (€/100 kg),50.79704213160792
13,Pera Conferencia (€/100 kg),67.55844179390724
14,Aguacate (€/100 kg),179.33663793010476
15,Caqui (€/100 kg),36.41740010704894
16,Granada (€/100 kg),59
17,Plátano (€/100 kg),32.39
18,HORTALIZAS,
19,Acelga (€/100kg),55.344874171404605
20,Ajo (€/100kg),155.61391828707426
21,Alcachofa (€/100kg),160.79557775879573
22,Berenjena (€/100 kg),79.6550263274934
23,Brócoli (€/100 kg),39.512461347190786
24,Calabacín (€/100 kg),27.126484773175957
25,Cebolla (€/100 kg),16.63698840258049
26,Champiñón (€/100kg),167.53799511822092
27,Coliflor (€/100 kg),38.88438970813128
28,Col-repollo hoja lisa (€/100 kg),31.252898905440166
29,Escarola (€/100 ud),35.63929980226674
30,Espinaca (€/100 kg),114.98055196131425
31,Haba verde (€/100 kg),151.38536675853297
32,Judía verde tipo plana (€/100 kg),179.86498718073113
33,Lechuga Romana (€/100 ud),20.48087777652613
34,Pepino (€/100 kg),57.30620288606966
35,Pimiento verde tipo italiano (€/100 kg),48.09007104356351
