,PRODUCTOS,Semana31
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 31
4,,27/07-02/08
5,FRUTAS,
6,Limón  (€/100 kg),23.75
7,Manzana Golden (€/100 kg),55
8,Albaricoque (€/100 kg),121.08826103990691
9,Cereza (€/100 kg),240.96379104532627
10,Ciruela (€/100 kg),39.00876251591
11,Melocotón (€/100 kg),57.506739511044636
12,Nectarina (€/100 kg),76.43760179370406
13,Aguacate (€/100 kg),315.4
14,Plátano (€/100 kg),56.4
15,Uva de mesa (€/100 kg),70.4510567332466
16,HORTALIZAS,
17,Acelga (€/100kg),70.92361352504346
18,Ajo (€/100kg),118.84754527129245
19,Berenjena (€/100 kg),44.811782594004924
20,Calabacín (€/100 kg),32.862612756381495
21,Cebolla (€/100 kg),11.227059621477078
22,Champiñón (€/100kg),137.22882231098652
23,Judía verde tipo plana (€/100 kg),171.63888608997755
24,Lechuga Romana (€/100 ud),25.4048776260049
25,Melón Piel de Sapo (€/100 kg),28.834707048360713
26,Pepino (€/100 kg),44.53312874346547
27,Pimiento verde tipo italiano (€/100 kg),68.58857140163582
28,Puerro (€/100 kg),48.511612079508645
29,Sandía (€/100 kg),14.183355604162928
30,Tomate liso (€/100 kg),50.87337224251995
31,Zanahoria (€/100 kg) ,21.54423562382338
32,Patata (€/100 kg) ,23.432702204790797
33,,
34,,
35,,
