,PRODUCTOS,Semana28
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 28
4,,06-12/07
5,FRUTAS,
6,Limón  (€/100 kg),31.25
7,Naranja - Grupo Blancas (€/100 kg),-
8,Manzana Golden (€/100 kg),55
9,Albaricoque (€/100 kg),85.20482131944041
10,Cereza (€/100 kg),215.31904233378555
11,Ciruela (€/100 kg),38.60421323714058
12,Melocotón (€/100 kg),58.662487782492704
13,Nectarina (€/100 kg),71.679828060119
14,Aguacate (€/100 kg),214.66999999999996
15,Plátano (€/100 kg),32.32
16,Uva de mesa (€/100 kg),70
17,HORTALIZAS,
18,Acelga (€/100kg),69.4735643580996
19,Ajo (€/100kg),128.4415569833112
20,Berenjena (€/100 kg),31.59868131946183
21,Calabacín (€/100 kg),31.25657558651572
22,Cebolla (€/100 kg),12.978207008937302
23,Champiñón (€/100kg),133.94391354779938
24,Judía verde tipo plana (€/100 kg),149.82156482427916
25,Lechuga Romana (€/100 ud),26.06073589821835
26,Melón Piel de Sapo (€/100 kg),38.03348899937602
27,Pepino (€/100 kg),44.38488856907025
28,Pimiento verde tipo italiano (€/100 kg),68.76343660398531
29,Puerro (€/100 kg),41.703448869058015
30,Sandía (€/100 kg),17.433199075464135
31,Tomate liso (€/100 kg),49.35940043151469
32,Zanahoria (€/100 kg) ,22.139666331090105
33,Patata (€/100 kg) ,22.783812679689408
34,,
35,,
